视频编号,视频文件,Session,题目,A,B,C,D,正确答案,视频时长秒
vid_0713,0713.mp4,8,视频里穿白大褂的医护人员主要在做什么？,做饭炒菜,跳舞表演,打扫卫生,保护病人,D,10.657
vid_0714,0714.mp4,3,视频里的男士主要在做什么？,在厨房炒菜做饭,在教室写作业,在操场打篮球,对着镜头摆姿势,D,10.657
vid_0715,0715.mp4,12,视频中的人物主要在做什么？,集体跳舞表演,开展体育比赛,进行面试选拔,动手烹饪美食,C,10.657
vid_0716,0716.mp4,10,视频中的人物主要在做什么？,对着镜头自拍,在教室写字,在操场跑步,在厨房炒菜,A,10.657
vid_0717,0717.mp4,15,视频中的人物主要在做什么？,唱歌跳舞,读书写字,炒菜做饭,搬运纸箱,D,10.657
vid_0718,0718.mp4,16,视频中女士手里主要拿着什么？,花束,饭盒,雨伞,水杯,A,10.657
vid_0719,0719.mp4,5,视频中人物主要在做什么？,粉刷墙面,修剪绿植,铺贴地砖,安装排水沟,D,10.657
vid_0720,0720.mp4,17,视频主要展示什么物品？,厨房用具,毛绒玩具,汽车模型,奥特曼变身器,D,10.658
vid_0721,0721.mp4,11,视频前半段出现的男士是什么姿态？,平躺,站立,坐着,跳跃,C,10.68
vid_0722,0722.mp4,14,视频主要展示的是什么？,高楼大厦,宠物狗,成年男子,小宝宝,D,10.68
vid_0723,0723.mp4,12,视频里的男性主要在做什么？,做饭,跳舞,画画,打球,B,10.68
vid_0724,0724.mp4,16,视频中大量出现的植物是？,银杏,竹子,枫树,荷花,B,10.68
vid_0725,0725.mp4,17,视频中的人物主要在做什么？,对着镜头摆姿势展示,在厨房烹饪炒菜,在操场跑步运动,在教室伏案写字,A,10.68
vid_0726,0726.mp4,11,视频中的人物主要在做什么？,自拍,跳舞,看书,做饭,A,10.682
vid_0727,0727.mp4,14,视频主要展示的户外天气状况是？,下雪,下雨,晴天,沙尘,A,10.682
vid_0728,0728.mp4,2,视频中演示可遥控操作的物品是？,淋浴镜,电视机,电风扇,空调,A,10.702
vid_0729,0729.mp4,5,视频主要展示什么内容？,校园课堂讲课,游戏段位结算,厨房烹饪教学,公园遛弯散步,B,10.703
vid_0730,0730.mp4,8,这段视频主要拍摄于哪里？,行驶的汽车内,学校操场上,大型超市内,医院病房里,A,10.703
vid_0731,0731.mp4,3,视频中的婴儿主要在做什么？,睡觉,吃饭,玩耍,爬行,A,10.703
vid_0732,0732.mp4,13,视频中的小宝宝主要在做什么？,跑步锻炼,安静躺着,打篮球,炒菜做饭,B,10.703
vid_0733,0733.mp4,6,视频中的人物主要在做什么？,坐着吃饭,躺着休息,站着跑步,弯腰干活,B,10.705
vid_0734,0734.mp4,1,视频中的人物主要在做什么？,清洗双手,摆放鲜花,展示试用画笔,阅读绘本,C,10.705
vid_0735,0735.mp4,10,视频主要展示什么食物？,汤圆,月饼,饺子,粽子,C,10.705
vid_0736,0736.mp4,15,视频中人物主要在做什么？,缝制衣物,打扫房间卫生,盛食物到碗里,阅读书籍,C,10.705
vid_0737,0737.mp4,7,视频主要展示的动物是什么？,小猫,小狗,兔子,大鹅,D,10.714
vid_0738,0738.mp4,4,视频里的人物主要在做什么？,展示特殊舌部动作,弹奏钢琴,打扫卫生,跑步健身,A,10.718
vid_0739,0739.mp4,6,视频主要展示的是什么场景？,电影购票,外卖下单,餐厅点餐,游戏选英雄,D,10.727
vid_0740,0740.mp4,1,视频中的男子主要在做什么？,吃东西,睡觉,驾驶车辆,操作手机,D,10.727
vid_0741,0741.mp4,2,视频中的人物主要在做什么？,炒菜做饭,面对镜头互动,打篮球,写作业,B,10.727
vid_0742,0742.mp4,9,视频中白上衣男子主要在做什么？,画画,跳绳,拥抱女子,做饭,C,10.727
vid_0743,0743.mp4,5,视频中的工人主要在做什么？,表演唱歌跳舞,烹饪制作食物,驾驶机动车辆,分拣整理衣物,D,10.727
vid_0744,0744.mp4,4,视频中的人物主要在做什么？,教室上课,操场跑步,自拍合影,餐厅吃饭,C,10.728
vid_0745,0745.mp4,7,视频后半段主要展示的是什么？,老年男性,小男孩,宠物狗,年轻女性,D,10.728
vid_0746,0746.mp4,15,视频主要展示的内容是什么？,一只白兔,一栋楼房,一位女士,一盆绿植,C,10.728
vid_0747,0747.mp4,9,视频主要展示什么？,多名运动员,一位女士,宠物小狗,山林风景,B,10.728
vid_0748,0748.mp4,8,视频中的人物主要在做什么？,操场跑步,厨房做饭,教室上课,对着镜头自拍,D,10.728
vid_0749,0749.mp4,3,视频里的小女孩主要在做什么？,跳绳,踢足球,坐在书桌前,洗衣服,C,10.728
vid_0750,0750.mp4,10,视频里的人物主要在做什么？,对着镜头互动自拍,跑步锻炼,炒菜做饭,看书学习,A,10.728
vid_0751,0751.mp4,13,视频中的人物主要在做什么？,烹饪做饭,弹奏乐器,做拉伸运动,伏案写字,C,10.734
vid_0752,0752.mp4,12,视频中的女性主要在做什么？,做饭,驾驶汽车,打球,跳舞,B,10.75
vid_0753,0753.mp4,16,手持筷子主要在做什么？,搅拌杯里饮品,擦拭筷子污渍,敲打桌面边缘,翻动盘内食物,D,10.75
vid_0754,0754.mp4,17,视频主要展示的人物是？,年轻女性,小男孩,老爷爷,老奶奶,A,10.751
vid_0755,0755.mp4,11,视频中的女性正在做什么？,制作食物,缝补衣物,打扫卫生,练习书法,A,10.751
vid_0756,0756.mp4,14,视频中的人物主要在做什么？,画画,跳舞,做饭,对着镜头说话,D,10.751
vid_0757,0757.mp4,14,视频主要展示的内容是什么？,奔跑的野生动物,变换造型的人物特效,烹饪美食的过程,课堂教学场景,B,10.751
vid_0758,0758.mp4,12,视频中的人物主要在做什么？,打扫卫生,吃水果,弹奏乐器,练习书法,B,10.773
vid_0759,0759.mp4,2,视频中的女生主要在做什么？,在厨房做饭,在教室写作业,对着镜头摆姿势,在操场跑步,C,10.773
vid_0760,0760.mp4,6,视频中的人物主要在做什么？,围坐在一起吃饭,拿玩具棍棒互动玩闹,打扫房间卫生,认真看书学习,B,10.773
vid_0761,0761.mp4,16,视频中的人物主要在做什么？,跳舞,对着镜头讲话,做饭,打球,B,10.773
vid_0762,0762.mp4,9,视频主要展示的内容是什么？,一桌饭菜,一位年轻女性,一只宠物猫,一辆自行车,B,10.775
vid_0763,0763.mp4,11,视频展现的主要场景是哪里？,KTV包厢,学校教室,办公会议室,户外沙滩,A,10.775
vid_0764,0764.mp4,13,视频中靠近镜头的手主要在做什么？,变换不同手势,拼接积木,清洗食材,弹奏钢琴,A,10.775
vid_0765,0765.mp4,17,视频中众人主要在做什么？,排练舞蹈节目,送新娘登上婚车,在食堂打饭,维修家用汽车,B,10.775
vid_0766,0766.mp4,7,视频中人物主要在做什么？,跑步健身,做头发美发,上课学习,做饭炒菜,B,10.796
vid_0767,0767.mp4,15,视频中的两名女性角色主要处于什么状态？,站在原地,快速奔跑,高空滑翔,水中游泳,A,10.796
vid_0768,0768.mp4,5,视频主要展示的是什么场景？,室内商场,高山雪景,河畔自然水景,沙漠风光,C,10.796
vid_0769,0769.mp4,10,视频主要展示的是什么场景？,居民住宅区周边,沙漠戈壁地带,工厂生产车间,原始森林深处,A,10.796
vid_0770,0770.mp4,3,视频主要展示的是哪类场景？,热带海边,乡间集市,现代教室,古代宫廷,D,10.796
vid_0771,0771.mp4,4,视频中的主要活动场景是哪里？,居家厨房,学校教室,林荫步道,海边沙滩,C,10.796
vid_0772,0772.mp4,8,视频中的人物主要在做什么？,吃零食,织毛衣,跳舞,打乒乓球,C,10.798
vid_0773,0773.mp4,1,视频中的人物主要在做什么？,伏案书写办公,手拉手向前跑跳,骑自行车赶路,围坐吃饭聚餐,B,10.798
vid_0774,0774.mp4,11,视频中的主要场景是哪里？,家中厨房,大型商场,学校操场,卧室,C,10.818
vid_0775,0775.mp4,5,视频大部分画面主要展示什么？,游戏对战界面,文档编辑界面,地图导航界面,聊天对话界面,D,10.82
vid_0776,0776.mp4,7,视频主要展示了什么？,厨师炒菜做饭,年轻男生对镜做表情,女生跳广场舞,小猫玩毛线球,B,10.82
vid_0777,0777.mp4,10,视频中的场景主要在哪里？,海边,教室,厨房,汽车内,D,10.82
vid_0778,0778.mp4,3,视频主要展示的动物是什么？,小猫,小鸭,小鸡,小狗,D,10.82
vid_0779,0779.mp4,8,视频中出现的宠物是？,猫,狗,兔子,仓鼠,A,10.82
vid_0780,0780.mp4,15,视频中的女子主要在做什么？,表演歌舞节目,打扫房间卫生,制作手工点心,操作农机翻土,D,10.82
vid_0781,0781.mp4,1,视频里的女性主要在做什么？,教室看书,街边行走,餐厅用餐,厨房做饭,B,10.821
vid_0782,0782.mp4,4,视频中的人们主要在进行什么活动？,舞蹈排练,开会办公,登山远足,聚餐聚会,D,10.821
vid_0783,0783.mp4,13,视频中的女士主要在做什么？,看书学习,跑步锻炼,烹饪做饭,对着镜子自拍,D,10.843
vid_0784,0784.mp4,9,视频中人物戴的搞怪面罩有什么造型？,叼烟的大红唇,粉色蝴蝶结,白色小兔子,卡通熊猫头,A,10.843
vid_0785,0785.mp4,16,视频里的人物主要在做什么？,厨房做饭,球场打球,教室上课,沿街行走自拍,D,10.843
vid_0786,0786.mp4,12,视频中拿物品的手主要在做什么？,对着前方人喷射,打扫卫生,做饭炒菜,书写作业,A,10.844
vid_0787,0787.mp4,17,视频中的女性主要在做什么？,在舞台跳舞表演,在泳池里游泳,在医院做手术,在街边拿宣传物料,D,10.844
vid_0788,0788.mp4,2,视频中的男士反复做什么动作？,低头写字,嘟嘴吐东西,大声唱歌,抬手跳舞,B,10.863
vid_0789,0789.mp4,14,视频主要展示什么人物？,青年小伙,年轻女学生,老年老爷爷,年幼孩童,C,10.863
vid_0790,0790.mp4,6,视频里的两个人主要在做什么？,烹饪做饭,唱歌跳舞,跑步健身,躺在床上,D,10.865
vid_0791,0791.mp4,5,视频中的人物主要在做什么？,跑步锻炼,烹饪做饭,正对镜头,弹奏乐器,C,10.866
vid_0792,0792.mp4,3,视频中人物主要在做什么？,编织手工,写字画画,唱歌跳舞,烹饪做饭,A,10.866
vid_0793,0793.mp4,16,视频主要展示的是哪类人物？,穿运动服的运动员,穿工装的工人,戏曲扮相的人物,穿白大褂的医生,C,10.867
vid_0794,0794.mp4,17,视频中的女性主要在做什么？,品尝各类美食,制作手工制品,拍摄写真照片,打扫房间卫生,C,10.867
vid_0795,0795.mp4,9,视频中的人物主要在做什么？,跑步锻炼,农田干活,自拍记录,课堂讲课,C,10.867
vid_0796,0796.mp4,8,视频拍摄的主要场景是哪里？,大型超市,家庭客厅,医院门诊,学校操场,D,10.867
vid_0797,0797.mp4,14,视频中的人物主要在做什么？,演奏乐器,打扫房间卫生,吃饭用餐,面向镜头互动拍摄,D,10.867
vid_0798,0798.mp4,13,人物主要在做什么？,清洗衣物,烹饪食物,更换鞋带,书写绘画,C,10.867
vid_0799,0799.mp4,12,视频中的人群主要在做什么？,拍照摄影,唱歌跳舞,做饭野餐,跑步锻炼,A,10.867
vid_0800,0800.mp4,2,视频主要展示的场景是哪里？,地下车库,海边沙滩,城市路口,高山雪原,C,10.868
vid_0801,0801.mp4,11,视频中的男子主要在做什么？,弹奏乐器,烹饪做饭,跑步锻炼,对着镜子自拍,D,10.889
vid_0802,0802.mp4,15,视频中人物主要在做什么？,翻纸展示手写文字,跑步锻炼,烹饪食物,弹奏乐器,A,10.889
vid_0803,0803.mp4,1,视频主要展示什么商品？,服装,水果,图书,家电,A,10.889
vid_0804,0804.mp4,6,视频中的女性主要在做什么？,做饭,走路,跳舞,打球,B,10.889
vid_0805,0805.mp4,7,视频主要呈现的对象是？,一只宠物猫,一辆小轿车,一名成年男子,一盆绿植,C,10.889
vid_0806,0806.mp4,10,视频中人物主要在做什么？,乘车在道路上行进,在书店看书,在厨房炒菜,在舞台跳舞,A,10.889
vid_0807,0807.mp4,4,视频主要展示的是什么物品？,新鲜的水果,绘画的颜料,缝纫的针线,卤制用的香料,D,10.889
vid_0808,0808.mp4,6,视频主要展示的场景是哪里？,沙漠,森林,海边,草原,C,10.891
vid_0809,0809.mp4,1,视频前段人物在卫生间做什么？,化妆,洗澡,刷牙,洗脸,C,10.912
vid_0810,0810.mp4,7,视频中围坐在桌边的人们主要在做什么？,聚餐吃饭,集体开会,演奏乐器,修理家具,A,10.912
vid_0811,0811.mp4,4,视频中的主要场景是哪里？,室内教室,林间草坪,海边沙滩,厨房餐厅,B,10.912
vid_0812,0812.mp4,15,画面中占比最大的男士在做什么？,做饭,弹琴,跳舞,抽烟,D,10.914
vid_0813,0813.mp4,10,视频拍摄的主要场景是哪里？,幼儿园教室,银行大厅,集体宿舍,生鲜超市,C,10.914
vid_0814,0814.mp4,13,视频主要展示的场所是？,工厂车间,医院诊室,度假民宿,学校教室,C,10.934
vid_0815,0815.mp4,12,视频里的人物主要在做什么？,跑步锻炼,看书学习,炒菜做饭,做美甲,D,10.934
vid_0816,0816.mp4,16,视频中主要展示的人物是？,年幼孩童,年轻女性,中年男性,老年男性,B,10.936
vid_0817,0817.mp4,17,视频主要展示了什么？,顾客在逛超市,女士紧挨婴儿躺着,歌手登台演唱,多人在打篮球,B,10.936
vid_0818,0818.mp4,9,视频里的小女孩主要在做什么？,摆姿势展示,写作业,炒菜做饭,打篮球,A,10.936
vid_0819,0819.mp4,8,视频主要展示的场景是哪里？,学校教室,澡堂浴室,医院诊室,餐厅后厨,B,10.936
vid_0820,0820.mp4,2,视频里的男子主要在做什么？,炒菜做饭,打扫卫生,抱着小宝宝,看书读报,C,10.936
vid_0821,0821.mp4,14,视频中的人物主要在做什么？,制作包馅食物,弹奏吉他,打扫地面,缝制衣服,A,10.936
vid_0822,0822.mp4,11,视频中的人物主要在做什么？,演奏乐器,展示穿搭,打扫房间,做饭炒菜,B,10.937
vid_0823,0823.mp4,5,视频中的人物主要在做什么？,跳舞表演,做饭炒菜,阅读书籍,玩泡泡类玩具,D,10.954
vid_0824,0824.mp4,9,视频中的工人主要在做什么？,铺设地砖,安装门窗,打磨家具,粉刷墙面,A,10.959
vid_0825,0825.mp4,7,视频里的两个人主要在做什么？,厨房做饭炒菜,雪地玩耍互动,操场跑步打球,舞台表演唱歌,B,10.959
vid_0826,0826.mp4,3,视频中的人物主要在做什么？,绘画写生,打篮球,烹饪做菜,展示服饰穿搭,D,10.959
vid_0827,0827.mp4,10,视频主要展现的场景是哪里？,厨房,床上,操场,教室,B,10.959
vid_0828,0828.mp4,16,视频中的古装女子主要在做什么？,行礼请安,跳舞表演,耕田种地,下厨做饭,A,10.959
vid_0829,0829.mp4,4,视频中的人物主要在做什么？,对着镜头做手势表达,跳绳锻炼,驾驶汽车,洗碗做家务,A,10.959
vid_0830,0830.mp4,1,视频中人物主要在做什么？,展示手中的鱼,清洗蔬菜,弹奏吉他,搭建积木,A,10.959
vid_0831,0831.mp4,6,视频中人物主要在做什么？,跳舞表演,跑步锻炼,靠坐面对镜头,在厨房做饭,C,10.959
vid_0832,0832.mp4,3,视频主要展示的场景是哪里？,中式寺院,沙漠营地,都市写字楼,海边渔村,A,10.96
vid_0833,0833.mp4,11,视频中的女性主要在做什么？,看书学习,烹饪做饭,打篮球,对着镜头摆姿势,D,10.96
vid_0834,0834.mp4,14,视频里的人物主要在做什么？,打扫卫生,面向镜头说话说笑,烹饪做饭,弹奏乐器,B,10.96
vid_0835,0835.mp4,2,视频中的人物主要在做什么？,看病就医,休闲游玩,组装家具,参加考试,B,10.96
vid_0836,0836.mp4,5,视频后半段的两名女子主要在做什么？,炒菜做饭,读书写字,游泳健身,游玩拍照,D,10.96
vid_0837,0837.mp4,17,画面中出现的软件界面主要用途是什么？,绘制图画,播放音乐,剪辑视频,编辑文档,C,10.982
vid_0838,0838.mp4,2,视频里的男性主要在做什么？,对着镜头讲话,跳舞,跑步锻炼,炒菜做饭,A,10.982
vid_0839,0839.mp4,15,视频中站着的两人主要在做什么？,修理家具,比对身高,烹饪做饭,打羽毛球,B,10.982
vid_0840,0840.mp4,6,视频主要呈现的场景是哪里？,综艺演播舞台,学校教室,户外运动场,海边沙滩,A,10.982
vid_0841,0841.mp4,7,视频中的人们主要在做什么？,跑步运动,上课学习,围坐吃饭,唱歌跳舞,C,10.982
vid_0842,0842.mp4,1,视频中出现的主要小动物是什么？,小狗,小鸡,小兔,小猫,D,10.982
vid_0843,0843.mp4,16,视频里的小朋友主要在做什么？,跳舞表演,踢球玩耍,看书学习,写字画画,B,10.982
vid_0844,0844.mp4,9,视频中的两名男子主要在做什么？,擦洗玻璃,打羽毛球,表演配合动作,烹饪食物,C,10.982
vid_0845,0845.mp4,10,视频里的人物主要在做什么？,打乒乓球,打羽毛球,打篮球,踢足球,A,10.982
vid_0846,0846.mp4,12,视频中的人物主要在做什么？,打扫房间,打羽毛球,烹饪食物,展示服装,D,10.982
vid_0847,0847.mp4,4,视频中的人主要在做什么？,组装家具,布置新春门饰,修补墙面,清洗蔬菜,B,10.982
vid_0848,0848.mp4,13,视频中的人物主要在做什么？,伏案写字,烹饪做饭,跑步竞速,跳舞表演,D,10.982
vid_0849,0849.mp4,8,视频主要展示什么车辆在行驶？,自行车,越野车,公交车,摩托车,B,10.982
vid_0850,0850.mp4,13,视频主要展示的服饰是哪一项？,休闲运动服,洛丽塔连衣裙,中式汉服,厚羽绒服,B,10.984
vid_0851,0851.mp4,17,视频中的人物主要在做什么？,在雪地上跳跃行进,在泳池里游泳,在教室内上课学习,在厨房烹饪饭菜,A,10.984
vid_0852,0852.mp4,12,视频中主要出现的穿制服人员是？,医护人员,交通警察,消防员,小区保安,C,10.984
vid_0853,0853.mp4,17,人物在视频中的主要行为是？,厨房做饭,伏案写字,捧花面对镜头,操场跑步,C,10.984
vid_0854,0854.mp4,15,视频中持续出现的白衣女子主要在做什么？,在马路上行走,驾驶白色汽车,坐电动自行车上,在路边跳舞,C,10.984
vid_0855,0855.mp4,3,视频中的两位人物主要在做什么？,弹奏乐器,炒菜做饭,伏案写字,同步抬腿行走,D,10.984
vid_0856,0856.mp4,8,视频中的人物主要在做什么？,做饭,睡觉,写字,跳舞,D,10.984
vid_0857,0857.mp4,14,视频主要展示的是什么场景？,超市购物,公园散步,道路驾车前行,舞台表演,C,10.984
vid_0858,0858.mp4,11,视频主要展示的是什么场景？,室内商场,雪天乡村,盛夏海滩,干旱荒漠,B,10.984
vid_0859,0859.mp4,5,视频拍摄的主要场景是哪里？,厨房,卧室,海边,教室,B,10.984
vid_0860,0860.mp4,15,视频中出现的英雄形象是？,蜘蛛侠,葫芦娃,孙悟空,奥特曼,D,11.004
vid_0861,0861.mp4,13,视频中的小猫主要在做什么？,安静睡觉,打闹互动,吃食物,舔毛,B,11.005
vid_0862,0862.mp4,8,视频中的人物主要在做什么？,看书学习,打球运动,穿背带短裤,烹饪炒菜,C,11.005
vid_0863,0863.mp4,12,视频中的活动主要发生在哪里？,商场专柜,操场跑道,教室课堂,家庭厨房,B,11.005
vid_0864,0864.mp4,3,视频主要展示什么物品？,书本,锅,水果,衣服,B,11.007
vid_0865,0865.mp4,9,视频中的人物主要在做什么？,清洗餐具,餐桌前吃饭,端着菜盘行走,灶台前炒菜,C,11.029
vid_0866,0866.mp4,16,视频中的人物主要在做什么？,打球,钓鱼,跳舞,做饭,B,11.029
vid_0867,0867.mp4,14,画面最前方的女士主要在做什么？,做饭炒菜,展示袋装物品,看书学习,跳舞表演,B,11.03
vid_0868,0868.mp4,2,视频里的人们主要在做什么？,炒菜做饭,喝酒敬酒,唱歌跳舞,打球运动,B,11.03
vid_0869,0869.mp4,11,视频里的女子主要在做什么？,做饭,跳舞,打球,在屋内行走,D,11.03
vid_0870,0870.mp4,5,视频主要展示什么内容？,体育运动比赛,美食烹饪教程,野生动物实拍,动漫少女插画,D,11.03
vid_0871,0871.mp4,7,视频中的成年女子主要在做什么？,辅导孩子功课,打扫房间卫生,假装给手机充电,折叠衣物,C,11.05
vid_0872,0872.mp4,5,视频中的人物主要在做什么？,打球,做饭,跳舞,行走,D,11.052
vid_0873,0873.mp4,7,视频主要展示的是什么？,一位老年男性,一只宠物猫,一位女性,开阔的海景,C,11.052
vid_0874,0874.mp4,1,视频主要展示的物体是什么？,汽车,飞机,自行车,轮船,A,11.052
vid_0875,0875.mp4,15,视频主要展示什么内容？,室内人物活动,太阳系天体运行,陆地动物迁徙,水面船只航行,B,11.052
vid_0876,0876.mp4,4,视频中的女子主要在做什么？,阅读看书,对着镜头做动作互动,烹饪做饭,跑步锻炼,B,11.052
vid_0877,0877.mp4,11,视频中的人物主要在做什么？,蒸米饭,擦玻璃,叠衣服,剪头发,D,11.052
vid_0878,0878.mp4,14,视频中的女子主要在做什么？,写毛笔字,跳广场舞,清洗蔬菜,展示充电宝,D,11.052
vid_0879,0879.mp4,10,视频中人物主要在做什么？,展示服饰,打扫卫生,弹奏乐器,烹饪食物,A,11.052
vid_0880,0880.mp4,2,视频中出现最多的角色外形是？,猴子,猪,壮汉,老翁,A,11.052
vid_0881,0881.mp4,6,视频中的人物主要在做什么？,演奏乐器,烹饪做饭,伏案写作,舞剑练武,D,11.052
vid_0882,0882.mp4,10,视频主要展示的内容是？,家庭聚餐场景,城市风光景观,野生动物活动,工厂生产作业,B,11.053
vid_0883,0883.mp4,6,视频中的人物主要在做什么？,看书,跑步,做饭,跳舞,B,11.053
vid_0884,0884.mp4,4,视频主要展示的是什么场景？,辽阔的草原景观,干旱的沙漠景观,临江的城市景观,茂密的森林景观,C,11.053
vid_0885,0885.mp4,1,视频主要展示的场景是哪里？,超市卖场,教室课堂,学生宿舍,餐厅后厨,C,11.053
vid_0886,0886.mp4,12,视频中人物主要在做什么？,清洗新鲜水果,缝制布艺衣服,擦拭玻璃桌面,摆弄折叠纸盒,D,11.074
vid_0887,0887.mp4,13,视频里的女性主要在做什么？,开车,游泳,走路和站立活动,炒菜做饭,C,11.075
vid_0888,0888.mp4,8,视频中前方站立的两人主要在做什么？,跳舞,做饭,吹奏乐器,打扫卫生,C,11.075
vid_0889,0889.mp4,9,视频中的男子主要在做什么？,烹饪做饭,户外跑步,打扫房间卫生,对着镜头表演,D,11.075
vid_0890,0890.mp4,3,视频里的故事主要发生在哪里？,海边沙滩,家中厨房,学校教室,狭长小巷,D,11.075
vid_0891,0891.mp4,16,视频中人物主要在做什么？,揉做馒头,炒制青菜,清洗水果,制作腐乳,D,11.075
vid_0892,0892.mp4,16,视频里的男性主要在做什么？,跑步运动,卧床休息,唱歌跳舞,烹饪做饭,B,11.098
vid_0893,0893.mp4,12,视频主要展示的动物是什么？,仓鼠,兔子,小猫,小狗,D,11.098
vid_0894,0894.mp4,13,视频里的人物主要在做什么？,弹奏乐器,烹饪食材,户外跑步,对着镜头说话,D,11.098
vid_0895,0895.mp4,3,视频的主要拍摄场景是哪里？,工厂车间,教室课堂,海边沙滩,餐厅厨房,A,11.098
vid_0896,0896.mp4,8,视频中的人物主要在做什么？,户外骑自行车,清洗蔬菜做饭,伏案写作业,对着镜头摆姿势,D,11.098
vid_0897,0897.mp4,17,视频拍摄的主要场所是哪里？,学校教室,健身房,餐馆,理发店,D,11.098
vid_0898,0898.mp4,9,视频中人物主要在做什么？,喂食家禽,用网捕捉动物,搭建养殖棚,打扫棚内卫生,B,11.098
vid_0899,0899.mp4,1,视频里的女士主要在做什么？,吃东西,做饭,扫地,跳舞,A,11.1
vid_0900,0900.mp4,4,视频中人物主要展示的物品是什么？,新鲜花束,皮质钱包,黄色毛绒玩偶,智能手机,C,11.1
vid_0901,0901.mp4,17,视频里的人物主要在做什么？,躺着睡觉休息,平地骑自行车,负重攀登石阶,围坐吃饭聊天,C,11.1
vid_0902,0902.mp4,10,视频主要展示的水产是什么？,海螺,鲜鱼,螃蟹,大虾,D,11.1
vid_0903,0903.mp4,6,视频中人物手持的主要道具是？,菜刀,钢笔,羽毛球拍,魔杖,D,11.121
vid_0904,0904.mp4,14,视频主要展示的动物是什么？,对虾,草鱼,螃蟹,公鸡,C,11.121
vid_0905,0905.mp4,5,视频里的人物主要在做什么？,伏案写字,清洗蔬果,跳绳运动,用嘴摆弄小纸片,D,11.121
vid_0906,0906.mp4,2,视频中的两位女子主要在做什么？,做饭,打球,跳舞,画画,C,11.121
vid_0907,0907.mp4,11,视频里的女士主要在做什么？,对着镜头自拍,舞台跳舞,厨房做饭,操场打球,A,11.121
vid_0908,0908.mp4,7,视频中大量出现的动物是？,牛,狗,马,羊,C,11.123
vid_0909,0909.mp4,15,视频里反复出现的工作人员穿着什么？,校服,警服,西装,防护服,D,11.143
vid_0910,0910.mp4,2,视频主要展示的动物是什么？,鹿,牛,马,羊,C,11.145
vid_0911,0911.mp4,17,视频里的小朋友主要在做什么？,伏案写作业,泳池游泳,操场跑步,站在沙发上玩耍,D,11.145
vid_0912,0912.mp4,14,视频中的人物主要在做什么？,跳舞表演,田间劳作,坐着用餐,面向镜头站立,D,11.145
vid_0913,0913.mp4,15,视频中的人物主要在做什么？,炒菜做饭,跑步健身,上香祈福,唱歌跳舞,C,11.146
vid_0914,0914.mp4,7,视频中的人群主要在做什么？,跑步比赛,站着聚集,围坐吃饭,跳舞表演,B,11.146
vid_0915,0915.mp4,11,视频里的人们主要在做什么？,在舞台上表演,在餐厅里吃饭,在球场踢足球,在学校区域行走,D,11.146
vid_0916,0916.mp4,6,视频中的女子主要在做什么？,打球,跳舞,做饭,画画,B,11.146
vid_0917,0917.mp4,9,视频的主要场景位于哪里？,雪原上,写字楼里,沙漠里,荷塘水边,D,11.166
vid_0918,0918.mp4,13,视频里的动画男性主要在做什么？,做饭,看书,睡觉,跳舞,D,11.168
vid_0919,0919.mp4,12,视频中的男士拿着纸巾在做什么？,擦拭眼部,烹饪食物,书写文字,接打电话,A,11.168
vid_0920,0920.mp4,10,视频中的人物主要穿着什么服饰？,运动球衣,现代西装,校服,传统古装,D,11.168
vid_0921,0921.mp4,8,视频中的女士主要在做什么？,炒菜做饭,弹奏乐器,对着镜头微笑自拍,跑步锻炼,C,11.168
vid_0922,0922.mp4,4,视频的主要拍摄场景是哪里？,教室内部,户外沙滩,汽车内部,住宅卧室,C,11.168
vid_0923,0923.mp4,1,视频主要展示什么物体？,电动车,摩托车,自行车,汽车,D,11.169
vid_0924,0924.mp4,16,视频里的两个人主要在做什么？,在操场踢足球,在积雪路面行走,在室内做饭,在舞台表演,B,11.169
vid_0925,0925.mp4,5,视频主要展示的场景是？,幼儿园教室,餐厅后厨,庭审现场,工地现场,C,11.169
vid_0926,0926.mp4,3,视频主要展示的物体是什么？,轮船,汽车,火车,飞机,D,11.169
vid_0927,0927.mp4,5,视频中的主要场景是哪里？,沙漠,海边,森林,草原,B,11.17
vid_0928,0928.mp4,13,视频主要展示的食物是？,饼干,锅巴,薯片,坚果,B,11.191
vid_0929,0929.mp4,7,视频主要展现的场景是哪里？,沙漠戈壁地带,大型室内商场,海边观光步道,山区原始森林,C,11.191
vid_0930,0930.mp4,6,视频里多次出现的食物是？,面包,蛋糕,汉堡,披萨,B,11.191
vid_0931,0931.mp4,8,视频中的人物主要在做什么？,弹奏钢琴,清洗水果蔬菜,翻看书籍,做出多种手部动作,D,11.191
vid_0932,0932.mp4,1,视频中的两名男孩主要在做什么？,认真写作业,对着电视玩耍,安静吃饭,打扫房间卫生,B,11.193
vid_0933,0933.mp4,4,视频里的女士主要在做什么？,和他人拥抱,演讲发言,跳舞表演,用餐进食,A,11.193
vid_0934,0934.mp4,10,视频中的人物主要在做什么？,厨房炒菜做饭,操场跑步锻炼,伏案书写作业,对着镜头自拍,D,11.193
vid_0935,0935.mp4,16,视频中的人物主要在做什么？,上课学习,搬运货物,烹饪做饭,玩闹互动,D,11.193
vid_0936,0936.mp4,3,视频中的人物主要在做什么？,在户外跑步锻炼,伏案写字学习,对着镜头做手部动作,在厨房烹饪做饭,C,11.193
